,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
168,5137,STONE,AR,Chronic Kidney Disease,Rural,24,"[1,000-4,999]",24.0,"[1,000-4,999]",,*,,*,39.0,[11-499],,*,36.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Stone County,5137.0,13.0,130.0,-92.439162,34.899825
169,5139,UNION,AR,Chronic Kidney Disease,Rural,24,"[5,000-9,999]",23.0,"[5,000-9,999]",28.0,"[1,000-4,999]",27.0,[11-499],19.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Union County,5139.0,49.0,431.0,-92.439162,34.899825
171,5143,WASHINGTON,AR,Chronic Kidney Disease,Urban,21,"[10,000+]",21.0,"[10,000+]",24.0,[11-499],23.0,[11-499],22.0,[500-999],26.0,[11-499],17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,Washington County,5143.0,181.0,1859.0,-92.439162,34.899825
172,5145,WHITE,AR,Chronic Kidney Disease,Rural,24,"[10,000+]",24.0,"[10,000+]",30.0,[11-499],17.0,[11-499],19.0,[11-499],28.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,AR,White County,5145.0,37.0,714.0,-92.439162,34.899825
175,6001,ALAMEDA,CA,Chronic Kidney Disease,Urban,26,"[10,000+]",22.0,"[10,000+]",31.0,"[10,000+]",27.0,"[10,000+]",27.0,"[10,000+]",26.0,[11-499],26.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Alameda County,6001.0,448.0,8259.0,-119.662127,37.211164
177,6005,AMADOR,CA,Chronic Kidney Disease,Rural,21,"[5,000-9,999]",21.0,"[5,000-9,999]",24.0,[11-499],16.0,[11-499],22.0,[11-499],30.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Amador County,6005.0,28.0,327.0,-119.662127,37.211164
178,6007,BUTTE,CA,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",35.0,[500-999],20.0,[500-999],25.0,"[1,000-4,999]",27.0,[500-999],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Butte County,6007.0,52.0,1692.0,-119.662127,37.211164
179,6009,CALAVERAS,CA,Chronic Kidney Disease,Rural,18,"[10,000+]",17.0,"[5,000-9,999]",24.0,[11-499],19.0,[11-499],21.0,[500-999],30.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Calaveras County,6009.0,11.0,288.0,-119.662127,37.211164
181,6013,CONTRA COSTA,CA,Chronic Kidney Disease,Urban,23,"[10,000+]",22.0,"[10,000+]",29.0,"[5,000-9,999]",25.0,"[5,000-9,999]",24.0,"[5,000-9,999]",24.0,[11-499],24.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Contra Costa County,6013.0,219.0,6143.0,-119.662127,37.211164
184,6019,FRESNO,CA,Chronic Kidney Disease,Urban,29,"[10,000+]",27.0,"[10,000+]",34.0,"[1,000-4,999]",32.0,"[1,000-4,999]",32.0,"[10,000+]",37.0,[500-999],26.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Fresno County,6019.0,438.0,6310.0,-119.662127,37.211164
187,6025,IMPERIAL,CA,Chronic Kidney Disease,Urban,29,"[10,000+]",25.0,"[1,000-4,999]",39.0,[11-499],28.0,[11-499],30.0,"[10,000+]",41.0,[11-499],18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Imperial County,6025.0,192.0,954.0,-119.662127,37.211164
188,6027,INYO,CA,Chronic Kidney Disease,Rural,18,"[1,000-4,999]",18.0,"[1,000-4,999]",,*,18.0,[11-499],24.0,[11-499],23.0,[11-499],29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Inyo County,6027.0,14.0,146.0,-119.662127,37.211164
189,6029,KERN,CA,Chronic Kidney Disease,Urban,26,"[10,000+]",23.0,"[10,000+]",30.0,"[1,000-4,999]",30.0,"[1,000-4,999]",30.0,"[10,000+]",29.0,[11-499],28.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Kern County,6029.0,426.0,5226.0,-119.662127,37.211164
190,6031,KINGS,CA,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[5,000-9,999]",30.0,[11-499],27.0,[11-499],27.0,"[1,000-4,999]",54.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Kings County,6031.0,120.0,766.0,-119.662127,37.211164
191,6033,LAKE,CA,Chronic Kidney Disease,Rural,19,"[10,000+]",18.0,"[10,000+]",29.0,[11-499],20.0,[11-499],21.0,"[1,000-4,999]",32.0,[11-499],26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Lake County,6033.0,14.0,495.0,-119.662127,37.211164
193,6037,LOS ANGELES,CA,Chronic Kidney Disease,Urban,29,"[10,000+]",25.0,"[10,000+]",34.0,"[10,000+]",34.0,"[10,000+]",31.0,"[10,000+]",30.0,[500-999],28.0,"[10,000+]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Los Angeles County,6037.0,6300.0,57093.0,-119.662127,37.211164
194,6039,MADERA,CA,Chronic Kidney Disease,Urban,28,"[10,000+]",27.0,"[5,000-9,999]",37.0,[11-499],31.0,[11-499],31.0,"[1,000-4,999]",30.0,[11-499],14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Madera County,6039.0,91.0,790.0,-119.662127,37.211164
195,6041,MARIN,CA,Chronic Kidney Disease,Urban,16,"[10,000+]",15.0,"[10,000+]",25.0,[500-999],18.0,"[1,000-4,999]",20.0,"[1,000-4,999]",15.0,[11-499],14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Marin County,6041.0,101.0,1550.0,-119.662127,37.211164
197,6045,MENDOCINO,CA,Chronic Kidney Disease,Rural,15,"[10,000+]",14.0,"[10,000+]",18.0,[11-499],14.0,[11-499],17.0,"[1,000-4,999]",33.0,[500-999],14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Mendocino County,6045.0,17.0,649.0,-119.662127,37.211164
198,6047,MERCED,CA,Chronic Kidney Disease,Urban,28,"[10,000+]",26.0,"[10,000+]",35.0,"[1,000-4,999]",33.0,"[1,000-4,999]",30.0,"[10,000+]",31.0,[11-499],24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Merced County,6047.0,86.0,1225.0,-119.662127,37.211164
201,6053,MONTEREY,CA,Chronic Kidney Disease,Urban,22,"[10,000+]",18.0,"[10,000+]",32.0,"[1,000-4,999]",26.0,"[1,000-4,999]",28.0,"[10,000+]",19.0,[11-499],25.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Monterey County,6053.0,86.0,2114.0,-119.662127,37.211164
202,6055,NAPA,CA,Chronic Kidney Disease,Urban,20,"[10,000+]",20.0,"[10,000+]",29.0,[11-499],27.0,[500-999],22.0,"[1,000-4,999]",32.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Napa County,6055.0,21.0,935.0,-119.662127,37.211164
204,6059,ORANGE,CA,Chronic Kidney Disease,Urban,25,"[10,000+]",23.0,"[10,000+]",32.0,"[1,000-4,999]",32.0,"[10,000+]",29.0,"[10,000+]",32.0,[11-499],27.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Orange County,6059.0,1375.0,17042.0,-119.662127,37.211164
205,6061,PLACER,CA,Chronic Kidney Disease,Urban,21,"[10,000+]",21.0,"[10,000+]",29.0,[500-999],22.0,"[1,000-4,999]",24.0,"[1,000-4,999]",21.0,[11-499],24.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Placer County,6061.0,104.0,3010.0,-119.662127,37.211164
207,6065,RIVERSIDE,CA,Chronic Kidney Disease,Urban,25,"[10,000+]",24.0,"[10,000+]",33.0,"[5,000-9,999]",27.0,"[5,000-9,999]",27.0,"[10,000+]",29.0,[500-999],28.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Riverside County,6065.0,1361.0,14663.0,-119.662127,37.211164
208,6067,SACRAMENTO,CA,Chronic Kidney Disease,Urban,25,"[10,000+]",23.0,"[10,000+]",30.0,"[10,000+]",29.0,"[10,000+]",26.0,"[10,000+]",27.0,[500-999],25.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Sacramento County,6067.0,472.0,9793.0,-119.662127,37.211164
210,6071,SAN BERNARDINO,CA,Chronic Kidney Disease,Urban,28,"[10,000+]",27.0,"[10,000+]",34.0,"[5,000-9,999]",30.0,"[5,000-9,999]",29.0,"[10,000+]",33.0,[11-499],27.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Bernardino County,6071.0,1221.0,13079.0,-119.662127,37.211164
211,6073,SAN DIEGO,CA,Chronic Kidney Disease,Urban,22,"[10,000+]",20.0,"[10,000+]",30.0,"[5,000-9,999]",25.0,"[10,000+]",26.0,"[10,000+]",30.0,[500-999],22.0,"[5,000-9,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Diego County,6073.0,1080.0,18293.0,-119.662127,37.211164
212,6075,SAN FRANCISCO,CA,Chronic Kidney Disease,Urban,22,"[10,000+]",19.0,"[10,000+]",27.0,"[5,000-9,999]",24.0,"[10,000+]",23.0,"[5,000-9,999]",24.0,[11-499],25.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Francisco County,6075.0,152.0,4869.0,-119.662127,37.211164
213,6077,SAN JOAQUIN,CA,Chronic Kidney Disease,Urban,28,"[10,000+]",28.0,"[10,000+]",31.0,"[1,000-4,999]",31.0,"[5,000-9,999]",28.0,"[10,000+]",38.0,[11-499],29.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Joaquin County,6077.0,465.0,4634.0,-119.662127,37.211164
214,6079,SAN LUIS OBISPO,CA,Chronic Kidney Disease,Urban,19,"[10,000+]",18.0,"[10,000+]",27.0,[11-499],22.0,[500-999],23.0,"[1,000-4,999]",27.0,[11-499],17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Luis Obispo County,6079.0,30.0,1756.0,-119.662127,37.211164
215,6081,SAN MATEO,CA,Chronic Kidney Disease,Urban,20,"[10,000+]",19.0,"[10,000+]",31.0,"[1,000-4,999]",22.0,"[5,000-9,999]",21.0,"[5,000-9,999]",45.0,[11-499],23.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,San Mateo County,6081.0,174.0,3601.0,-119.662127,37.211164
216,6083,SANTA BARBARA,CA,Chronic Kidney Disease,Urban,21,"[10,000+]",19.0,"[10,000+]",35.0,"[1,000-4,999]",27.0,"[1,000-4,999]",27.0,"[10,000+]",26.0,[11-499],23.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Santa Barbara County,6083.0,135.0,2548.0,-119.662127,37.211164
217,6085,SANTA CLARA,CA,Chronic Kidney Disease,Urban,23,"[10,000+]",20.0,"[10,000+]",29.0,"[1,000-4,999]",26.0,"[10,000+]",26.0,"[10,000+]",25.0,[11-499],21.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Santa Clara County,6085.0,365.0,8724.0,-119.662127,37.211164
218,6087,SANTA CRUZ,CA,Chronic Kidney Disease,Urban,18,"[10,000+]",16.0,"[10,000+]",26.0,[11-499],22.0,"[1,000-4,999]",25.0,"[5,000-9,999]",20.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Santa Cruz County,6087.0,34.0,1264.0,-119.662127,37.211164
219,6089,SHASTA,CA,Chronic Kidney Disease,Urban,19,"[10,000+]",19.0,"[10,000+]",27.0,[11-499],22.0,[500-999],19.0,"[1,000-4,999]",28.0,[500-999],14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Shasta County,6089.0,32.0,1867.0,-119.662127,37.211164
222,6095,SOLANO,CA,Chronic Kidney Disease,Urban,25,"[10,000+]",23.0,"[10,000+]",30.0,"[5,000-9,999]",28.0,"[1,000-4,999]",27.0,"[5,000-9,999]",25.0,[11-499],20.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Solano County,6095.0,102.0,2627.0,-119.662127,37.211164
223,6097,SONOMA,CA,Chronic Kidney Disease,Urban,18,"[10,000+]",17.0,"[10,000+]",28.0,[500-999],18.0,"[1,000-4,999]",21.0,"[1,000-4,999]",31.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Sonoma County,6097.0,147.0,3328.0,-119.662127,37.211164
224,6099,STANISLAUS,CA,Chronic Kidney Disease,Urban,28,"[10,000+]",27.0,"[10,000+]",32.0,"[1,000-4,999]",32.0,"[1,000-4,999]",28.0,"[5,000-9,999]",32.0,[11-499],29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Stanislaus County,6099.0,504.0,4399.0,-119.662127,37.211164
226,6103,TEHAMA,CA,Chronic Kidney Disease,Rural,21,"[10,000+]",21.0,"[10,000+]",14.0,[11-499],18.0,[11-499],25.0,"[1,000-4,999]",26.0,[11-499],13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Tehama County,6103.0,10.0,416.0,-119.662127,37.211164
228,6107,TULARE,CA,Chronic Kidney Disease,Urban,29,"[10,000+]",27.0,"[10,000+]",33.0,[500-999],31.0,"[1,000-4,999]",31.0,"[10,000+]",35.0,[11-499],25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Tulare County,6107.0,288.0,2575.0,-119.662127,37.211164
230,6111,VENTURA,CA,Chronic Kidney Disease,Urban,24,"[10,000+]",22.0,"[10,000+]",33.0,"[1,000-4,999]",26.0,"[1,000-4,999]",29.0,"[10,000+]",28.0,[11-499],25.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Ventura County,6111.0,178.0,4531.0,-119.662127,37.211164
231,6113,YOLO,CA,Chronic Kidney Disease,Urban,23,"[10,000+]",22.0,"[5,000-9,999]",24.0,[11-499],26.0,"[1,000-4,999]",27.0,"[1,000-4,999]",34.0,[11-499],25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Yolo County,6113.0,46.0,914.0,-119.662127,37.211164
232,6115,YUBA,CA,Chronic Kidney Disease,Urban,27,"[10,000+]",26.0,"[5,000-9,999]",36.0,[11-499],30.0,[11-499],27.0,"[1,000-4,999]",25.0,[11-499],33.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CA,Yuba County,6115.0,19.0,593.0,-119.662127,37.211164
234,8001,ADAMS,CO,Chronic Kidney Disease,Urban,24,"[10,000+]",24.0,"[10,000+]",33.0,[500-999],26.0,[500-999],25.0,"[1,000-4,999]",35.0,[11-499],20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Adams County,8001.0,315.0,3008.0,-105.547832,38.998552
236,8005,ARAPAHOE,CO,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",29.0,"[1,000-4,999]",21.0,"[1,000-4,999]",23.0,"[1,000-4,999]",22.0,[11-499],21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Arapahoe County,8005.0,427.0,3730.0,-105.547832,38.998552
240,8013,BOULDER,CO,Chronic Kidney Disease,Urban,16,"[10,000+]",15.0,"[10,000+]",26.0,[11-499],16.0,[11-499],26.0,"[1,000-4,999]",26.0,[11-499],13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Boulder County,8013.0,97.0,1870.0,-105.547832,38.998552
241,8014,BROOMFIELD,CO,Chronic Kidney Disease,Urban,19,"[1,000-4,999]",18.0,"[1,000-4,999]",29.0,[11-499],20.0,[11-499],27.0,[11-499],,*,22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Broomfield County,8014.0,28.0,261.0,-105.547832,38.998552
242,8015,CHAFFEE,CO,Chronic Kidney Disease,Rural,13,"[1,000-4,999]",13.0,"[1,000-4,999]",,*,,[11-499],15.0,[11-499],,*,18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Chaffee County,8015.0,17.0,148.0,-105.547832,38.998552
250,8031,DENVER,CO,Chronic Kidney Disease,Urban,21,"[10,000+]",20.0,"[10,000+]",29.0,"[1,000-4,999]",16.0,[500-999],23.0,"[1,000-4,999]",21.0,[11-499],23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Denver County,8031.0,339.0,4279.0,-105.547832,38.998552
252,8035,DOUGLAS,CO,Chronic Kidney Disease,Urban,19,"[10,000+]",19.0,"[10,000+]",31.0,[11-499],19.0,[11-499],17.0,[11-499],29.0,[11-499],17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Douglas County,8035.0,73.0,1305.0,-105.547832,38.998552
255,8041,EL PASO,CO,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",28.0,"[1,000-4,999]",23.0,"[1,000-4,999]",25.0,"[1,000-4,999]",25.0,[11-499],21.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,El Paso County,8041.0,199.0,4209.0,-105.547832,38.998552
264,8059,JEFFERSON,CO,Chronic Kidney Disease,Urban,22,"[10,000+]",22.0,"[10,000+]",29.0,[11-499],20.0,[500-999],24.0,"[1,000-4,999]",24.0,[11-499],23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Jefferson County,8059.0,271.0,3948.0,-105.547832,38.998552
269,8069,LARIMER,CO,Chronic Kidney Disease,Urban,18,"[10,000+]",18.0,"[10,000+]",25.0,[11-499],16.0,[11-499],23.0,"[1,000-4,999]",13.0,[11-499],17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Larimer County,8069.0,71.0,2074.0,-105.547832,38.998552
272,8075,LOGAN,CO,Chronic Kidney Disease,Rural,22,"[1,000-4,999]",22.0,"[1,000-4,999]",23.0,[11-499],,*,28.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Logan County,8075.0,11.0,162.0,-105.547832,38.998552
273,8077,MESA,CO,Chronic Kidney Disease,Urban,16,"[10,000+]",15.0,"[10,000+]",22.0,[11-499],19.0,[11-499],20.0,"[1,000-4,999]",19.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Mesa County,8077.0,24.0,1456.0,-105.547832,38.998552
277,8085,MONTROSE,CO,Chronic Kidney Disease,Rural,14,"[5,000-9,999]",14.0,"[5,000-9,999]",16.0,[11-499],19.0,[11-499],16.0,[500-999],33.0,[11-499],12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Montrose County,8085.0,14.0,330.0,-105.547832,38.998552
278,8087,MORGAN,CO,Chronic Kidney Disease,Rural,17,"[1,000-4,999]",16.0,"[1,000-4,999]",,[11-499],21.0,[11-499],20.0,[500-999],,*,35.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Morgan County,8087.0,40.0,203.0,-105.547832,38.998552
285,8101,PUEBLO,CO,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",29.0,[11-499],17.0,[11-499],25.0,"[5,000-9,999]",24.0,[11-499],29.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Pueblo County,8101.0,39.0,1636.0,-105.547832,38.998552
296,8123,WELD,CO,Chronic Kidney Disease,Urban,22,"[10,000+]",21.0,"[10,000+]",26.0,[11-499],18.0,[11-499],27.0,"[1,000-4,999]",23.0,[11-499],23.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CO,Weld County,8123.0,127.0,1345.0,-105.547832,38.998552
299,9001,FAIRFIELD,CT,Chronic Kidney Disease,Urban,21,"[10,000+]",20.0,"[10,000+]",33.0,"[5,000-9,999]",20.0,"[1,000-4,999]",24.0,"[5,000-9,999]",18.0,[11-499],19.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,Fairfield County,9001.0,1457.0,6079.0,-72.738288,41.575155
300,9003,HARTFORD,CT,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[10,000+]",35.0,"[5,000-9,999]",22.0,"[1,000-4,999]",28.0,"[5,000-9,999]",31.0,[11-499],29.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,Hartford County,9003.0,1457.0,7307.0,-72.738288,41.575155
301,9005,LITCHFIELD,CT,Chronic Kidney Disease,Rural,21,"[10,000+]",21.0,"[10,000+]",29.0,[11-499],21.0,[11-499],21.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,Litchfield County,9005.0,136.0,1132.0,-72.738288,41.575155
302,9007,MIDDLESEX,CT,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[10,000+]",31.0,[500-999],19.0,[11-499],23.0,[11-499],33.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,Middlesex County,9007.0,180.0,1111.0,-72.738288,41.575155
303,9009,NEW HAVEN,CT,Chronic Kidney Disease,Urban,26,"[10,000+]",25.0,"[10,000+]",36.0,"[5,000-9,999]",22.0,"[1,000-4,999]",28.0,"[5,000-9,999]",25.0,[11-499],26.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,New Haven County,9009.0,1106.0,6945.0,-72.738288,41.575155
304,9011,NEW LONDON,CT,Chronic Kidney Disease,Urban,24,"[10,000+]",23.0,"[10,000+]",31.0,"[1,000-4,999]",25.0,[500-999],29.0,"[1,000-4,999]",28.0,[11-499],27.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,New London County,9011.0,122.0,1655.0,-72.738288,41.575155
305,9013,TOLLAND,CT,Chronic Kidney Disease,Urban,23,"[10,000+]",23.0,"[5,000-9,999]",29.0,[11-499],24.0,[11-499],23.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,Tolland County,9013.0,48.0,529.0,-72.738288,41.575155
306,9015,WINDHAM,CT,Chronic Kidney Disease,Rural,23,"[10,000+]",23.0,"[10,000+]",27.0,[11-499],16.0,[11-499],28.0,[500-999],22.0,[11-499],22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,CT,Windham County,9015.0,14.0,659.0,-72.738288,41.575155
307,10001,KENT,DE,Chronic Kidney Disease,Urban,31,"[10,000+]",29.0,"[10,000+]",39.0,"[5,000-9,999]",26.0,[11-499],31.0,[500-999],29.0,[11-499],32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,DE,Kent County,10001.0,110.0,1454.0,-75.452394,38.994926
308,10003,NEW CASTLE,DE,Chronic Kidney Disease,Urban,24,"[10,000+]",22.0,"[10,000+]",34.0,"[10,000+]",23.0,"[1,000-4,999]",26.0,"[1,000-4,999]",18.0,[11-499],25.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,DE,New Castle County,10003.0,293.0,4147.0,-75.452394,38.994926
309,10005,SUSSEX,DE,Chronic Kidney Disease,Rural,24,"[10,000+]",23.0,"[10,000+]",38.0,"[1,000-4,999]",22.0,[11-499],29.0,[500-999],29.0,[11-499],31.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,DE,Sussex County,10005.0,197.0,2080.0,-75.452394,38.994926
310,11001,THE DISTRICT,DC,Chronic Kidney Disease,Urban,25,"[10,000+]",13.0,"[10,000+]",32.0,"[10,000+]",17.0,"[1,000-4,999]",22.0,"[1,000-4,999]",20.0,[11-499],19.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,DC,District of Columbia,11001.0,788.0,5391.0,-77.016275,38.904785
311,12001,ALACHUA,FL,Chronic Kidney Disease,Urban,27,"[10,000+]",24.0,"[10,000+]",39.0,"[1,000-4,999]",20.0,[11-499],26.0,[500-999],46.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Alachua County,12001.0,234.0,2949.0,-82.420978,28.260731
313,12005,BAY,FL,Chronic Kidney Disease,Urban,28,"[10,000+]",27.0,"[10,000+]",40.0,"[1,000-4,999]",22.0,[11-499],26.0,[11-499],14.0,[11-499],32.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Bay County,12005.0,141.0,1615.0,-82.420978,28.260731
315,12009,BREVARD,FL,Chronic Kidney Disease,Urban,28,"[10,000+]",27.0,"[10,000+]",39.0,"[5,000-9,999]",27.0,"[1,000-4,999]",28.0,"[1,000-4,999]",25.0,[11-499],31.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Brevard County,12009.0,373.0,6128.0,-82.420978,28.260731
316,12011,BROWARD,FL,Chronic Kidney Disease,Urban,30,"[10,000+]",28.0,"[10,000+]",36.0,"[10,000+]",29.0,"[1,000-4,999]",30.0,"[10,000+]",44.0,[11-499],32.0,"[1,000-4,999]",2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Broward County,12011.0,1725.0,13719.0,-82.420978,28.260731
318,12015,CHARLOTTE,FL,Chronic Kidney Disease,Urban,27,"[10,000+]",27.0,"[10,000+]",38.0,"[1,000-4,999]",25.0,[11-499],28.0,[500-999],29.0,[11-499],26.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Charlotte County,12015.0,158.0,2439.0,-82.420978,28.260731
319,12017,CITRUS,FL,Chronic Kidney Disease,Rural,34,"[10,000+]",33.0,"[10,000+]",43.0,[11-499],34.0,[11-499],34.0,[500-999],60.0,[11-499],40.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Citrus County,12017.0,92.0,2202.0,-82.420978,28.260731
320,12019,CLAY,FL,Chronic Kidney Disease,Urban,28,"[10,000+]",28.0,"[10,000+]",37.0,"[1,000-4,999]",26.0,[11-499],27.0,[500-999],29.0,[11-499],28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,FL,Clay County,12019.0,127.0,1824.0,-82.420978,28.260731
